time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-14T07:32:18.000Z,62.987,-149.2264,67.4,3.1,ml,,,,0.74,ak,ak11625543,2015-06-14T15:34:53.077Z,"47km SSW of Cantwell, Alaska",earthquake
2015-06-14T07:22:53.970Z,36.1986667,-89.4278333,7.65,2.63,md,13,56,0.03204,0.06,nm,nm60079742,2015-06-14T15:25:31.641Z,"8km SE of Ridgely, Tennessee",earthquake
2015-06-14T06:19:46.660Z,-11.4342,163.2402,35,5,mb,,82,3.797,1.21,us,us20002ppz,2015-06-14T14:22:22.529Z,"180km SE of Kirakira, Solomon Islands",earthquake
2015-06-14T06:09:59.820Z,36.7385,71.2732,154.29,4.1,mb,,75,0.679,0.46,us,us20002ppy,2015-06-14T14:12:42.040Z,"24km WNW of Ashkasham, Afghanistan",earthquake
2015-06-14T05:57:24.890Z,36.2872,-97.5253,1.69,3.2,mb_lg,,61,0.428,0.36,us,us20002ppv,2015-06-14T21:26:40.212Z,"21km W of Perry, Oklahoma",earthquake
2015-06-14T05:32:28.680Z,38.6603,-29.0813,14.48,4.8,mb,,83,0.655,0.68,us,us20002ppt,2015-06-14T13:35:00.370Z,"36km WNW of Ribeira Grande, Portugal",earthquake
2015-06-14T05:30:13.940Z,-11.4545,163.258,35,4.8,mb,,81,3.823,0.97,us,us20002ppq,2015-06-14T13:32:43.121Z,"183km SE of Kirakira, Solomon Islands",earthquake
2015-06-14T03:31:14.200Z,19.6,-66.2839,47,3.3,Md,4,342,1.1399621,0.25,pr,pr15165003,2015-06-14T11:33:44.085Z,"125km N of Brenas, Puerto Rico",earthquake
2015-06-14T02:14:28.100Z,18.68,-67.3516,68,2.5,Md,5,259.2,0.30991877,0.25,pr,pr15165002,2015-06-14T10:17:07.419Z,"33km NW of San Antonio, Puerto Rico",earthquake
2015-06-14T01:56:22.000Z,63.3822,-149.4835,99.9,3.2,ml,,,,0.53,ak,ak11625459,2015-06-14T09:58:57.533Z,"26km W of Cantwell, Alaska",earthquake
2015-06-14T01:45:46.800Z,17.9631,-68.1648,79,3,Md,8,248.4,0.58390493,0.25,pr,pr15165001,2015-06-14T04:16:23.353Z,"65km SE of Boca de Yuma, Dominican Republic",earthquake
2015-06-14T01:42:00.000Z,-32.925,-71.38,46.7,3.7,ml,,,,0.56,us,us20002q4g,2015-06-16T00:23:12.284Z,"11km WSW of Quillota, Chile",earthquake
2015-06-14T01:02:06.970Z,44.4166,140.4856,254.38,4,mb,,54,1.543,0.55,us,us20002pp6,2015-06-14T09:04:35.268Z,"99km SW of Rishiri Town, Japan",earthquake
2015-06-14T00:10:26.000Z,54.4362,-161.9979,9.9,3.2,ml,,,,0.53,ak,ak11625436,2015-06-14T08:13:10.158Z,"95km SSE of Cold Bay, Alaska",earthquake
